Group,Team,Ranking Points,Points,GF,GA,GD
A,Mexico (15),1684.13,,,,
A,South Africa (60),1428.38,,,,
A,Rep. of Korea (25),1589.65,,,,
A,Czech Rep. (41),1503.04,,,,
B,Canada (30),1556.48,,,,
B,Bosnia/Herzeg. (65),1385.77,,,,
B,Qatar (55),1452.37,,,,
B,Switzerland (19),1650.75,,,,
C,Brazil (6),1762.66,,,,
C,Morocco (8),1755.87,,,,
C,Haiti (83),1291.71,,,,
C,Scotland (43),1499.92,,,,
D,USA (16),1675.7,,,,
D,Paraguay (40),1503.5,,,,
D,Australia (27),1578.66,,,,
D,Turkey (22),1599.04,,,,
E,Germany (10),1731.3,,,,
E,Curaçao (82),1293.08,,,,
E,Ivory Coast (34),1532.98,,,,
E,Ecuador (23),1596.48,,,,
F,Netherlands (7),1757.87,,,,
F,Japan (18),1661.58,,,,
F,Sweden (38),1514.77,,,,
F,Tunisia (44),1483.05,,,,
G,Belgium (9),1734.71,,,,
G,Egypt (28),1565.56,,,,
G,IR Iran (21),1616.04,,,,
G,New Zealand (85),1281.57,,,,
H,Spain (2),1876.4,,,,
H,Cape Verde (69),1369.29,,,,
H,Saudi Arabia (61),1419.73,,,,
H,Uruguay (17),1673.07,,,,
I,France (1),1877.32,,,,
I,Senegal (14),1686.41,,,,
I,Iraq (57),1447.77,,,,
I,Norway (31),1550.94,,,,
J,Argentina (3),1874.81,,,,
J,Algeria (29),1564.26,,,,
J,Austria (24),1593.45,,,,
J,Jordan (63),1390.1,,,,
K,Portugal (5),1763.83,,,,
K,DR Congo (46),1478.35,,,,
K,Uzbekistan (50),1465.34,,,,
K,Colombia (13),1693.09,,,,
L,England (4),1825.97,,,,
L,Croatia (11),1717.07,,,,
L,Ghana (74),1345.23,,,,
L,Panama (33),1539.14,,,,
